,ano,cnae_secao,Estado,ativo_problematico_deflacionado
395,2012,PJ - Construção,MINAS GERAIS,1445354432.8020053
396,2012,PJ - Educação,MINAS GERAIS,68680301.54856677
397,2012,PJ - Eletricidade e gás,MINAS GERAIS,5076068.607259154
398,2012,PJ - Indústrias de transformação,MINAS GERAIS,2293485349.4944587
399,2012,PJ - Indústrias extrativas,MINAS GERAIS,56175749.55339307
400,2012,PJ - Informação e comunicação,MINAS GERAIS,74782456.34959218
401,2012,PJ - Organismos internacionais e outras instituições extraterritoriais,MINAS GERAIS,0.0
402,2012,PJ - Outras atividades de serviços,MINAS GERAIS,72361106.4991183
403,2012,PJ - Saúde humana e serviços sociais,MINAS GERAIS,36785398.15062555
404,2012,PJ - Serviços domésticos,MINAS GERAIS,5634.693027296525
405,2012,"PJ - Transporte, armazenagem e correio",MINAS GERAIS,811911801.5201002
406,2012,"PJ - Água, esgoto, atividades de gestão de resíduos e descontaminação",MINAS GERAIS,12464457.346936096
407,2012,"PJ - Administração pública, defesa e seguridade social",MATO GROSSO DO SUL,1338714.423604428
408,2012,"PJ - Agricultura, pecuária, produção florestal, pesca e aqüicultura",MATO GROSSO DO SUL,24530850.722497936
409,2012,PJ - Alojamento e alimentação,MATO GROSSO DO SUL,22175384.128707185
410,2012,"PJ - Artes, cultura, esporte e recreação",MATO GROSSO DO SUL,2392037.471378253
411,2012,PJ - Atividades administrativas e serviços complementares,MATO GROSSO DO SUL,53750701.64674504
412,2012,"PJ - Atividades financeiras, de seguros e serviços relacionados",MATO GROSSO DO SUL,4164687.8139143237
413,2012,PJ - Atividades imobiliárias,MATO GROSSO DO SUL,1928691.5787832763
414,2012,"PJ - Atividades profissionais, científicas e técnicas",MATO GROSSO DO SUL,25375017.788994808
415,2012,PJ - Comércio; reparação de veículos automotores e motocicletas,MATO GROSSO DO SUL,321346861.80819947
416,2012,PJ - Construção,MATO GROSSO DO SUL,92893993.60667169
417,2012,PJ - Educação,MATO GROSSO DO SUL,5209251.525745785
418,2012,PJ - Eletricidade e gás,MATO GROSSO DO SUL,5764306.4877131265
419,2012,PJ - Indústrias de transformação,MATO GROSSO DO SUL,238538715.86087132
420,2012,PJ - Indústrias extrativas,MATO GROSSO DO SUL,11409817.181440743
421,2012,PJ - Informação e comunicação,MATO GROSSO DO SUL,7617660.937593494
422,2012,PJ - Outras atividades de serviços,MATO GROSSO DO SUL,11639350.988338793
423,2012,PJ - Saúde humana e serviços sociais,MATO GROSSO DO SUL,2151856.2131701987
424,2012,PJ - Serviços domésticos,MATO GROSSO DO SUL,3247.458764531852
425,2012,"PJ - Transporte, armazenagem e correio",MATO GROSSO DO SUL,105570845.62516442
426,2012,"PJ - Água, esgoto, atividades de gestão de resíduos e descontaminação",MATO GROSSO DO SUL,4358944.693886678
427,2012,"PJ - Administração pública, defesa e seguridade social",MATO GROSSO,0.0
428,2012,"PJ - Agricultura, pecuária, produção florestal, pesca e aqüicultura",MATO GROSSO,97138008.1530288
429,2012,PJ - Alojamento e alimentação,MATO GROSSO,46645675.58646502
430,2012,"PJ - Artes, cultura, esporte e recreação",MATO GROSSO,1792412.833551927
431,2012,PJ - Atividades administrativas e serviços complementares,MATO GROSSO,30104471.72840734
432,2012,"PJ - Atividades financeiras, de seguros e serviços relacionados",MATO GROSSO,3347105.157678958
433,2012,PJ - Atividades imobiliárias,MATO GROSSO,3282828.2075318545
434,2012,"PJ - Atividades profissionais, científicas e técnicas",MATO GROSSO,17146286.335609727
435,2012,PJ - Comércio; reparação de veículos automotores e motocicletas,MATO GROSSO,766685534.7640909
436,2012,PJ - Construção,MATO GROSSO,173751337.4893831
437,2012,PJ - Educação,MATO GROSSO,7070803.67204505
438,2012,PJ - Eletricidade e gás,MATO GROSSO,202375749.82383707
439,2012,PJ - Indústrias de transformação,MATO GROSSO,651111317.3153996
440,2012,PJ - Indústrias extrativas,MATO GROSSO,4728691.366540179
441,2012,PJ - Informação e comunicação,MATO GROSSO,12206154.426590918
442,2012,PJ - Outras atividades de serviços,MATO GROSSO,19416548.05959753
443,2012,PJ - Saúde humana e serviços sociais,MATO GROSSO,7986858.904714181
444,2012,"PJ - Transporte, armazenagem e correio",MATO GROSSO,175128616.8885837
445,2012,"PJ - Água, esgoto, atividades de gestão de resíduos e descontaminação",MATO GROSSO,781461.1206995561
446,2012,"PJ - Administração pública, defesa e seguridade social",PARÁ,969953.6253677582
447,2012,"PJ - Agricultura, pecuária, produção florestal, pesca e aqüicultura",PARÁ,14967945.703338103
448,2012,PJ - Alojamento e alimentação,PARÁ,28766148.044464603
449,2012,"PJ - Artes, cultura, esporte e recreação",PARÁ,4567891.772194034
450,2012,PJ - Atividades administrativas e serviços complementares,PARÁ,55286566.77856549
451,2012,"PJ - Atividades financeiras, de seguros e serviços relacionados",PARÁ,4513906.873922639
452,2012,PJ - Atividades imobiliárias,PARÁ,6421142.4838611465
453,2012,"PJ - Atividades profissionais, científicas e técnicas",PARÁ,18905810.80793894
454,2012,PJ - Comércio; reparação de veículos automotores e motocicletas,PARÁ,566133532.0399696
455,2012,PJ - Construção,PARÁ,154262814.73901996
456,2012,PJ - Educação,PARÁ,18085890.694284245
457,2012,PJ - Eletricidade e gás,PARÁ,522561323.4097195
458,2012,PJ - Indústrias de transformação,PARÁ,512511417.21813315
459,2012,PJ - Indústrias extrativas,PARÁ,6267407.986805475
460,2012,PJ - Informação e comunicação,PARÁ,7793872.903446778
461,2012,PJ - Outras atividades de serviços,PARÁ,5448073.326433501
462,2012,PJ - Saúde humana e serviços sociais,PARÁ,7780953.920028616
463,2012,PJ - Serviços domésticos,PARÁ,0.0
464,2012,"PJ - Transporte, armazenagem e correio",PARÁ,150297299.95786288
465,2012,"PJ - Água, esgoto, atividades de gestão de resíduos e descontaminação",PARÁ,2374689.5852318485
466,2012,"PJ - Administração pública, defesa e seguridade social",PARAÍBA,9050.160526275586
467,2012,"PJ - Agricultura, pecuária, produção florestal, pesca e aqüicultura",PARAÍBA,33883946.55581177
468,2012,PJ - Alojamento e alimentação,PARAÍBA,7889808.477614265
469,2012,"PJ - Artes, cultura, esporte e recreação",PARAÍBA,1972638.3498483722
470,2012,PJ - Atividades administrativas e serviços complementares,PARAÍBA,17388998.452438504
471,2012,"PJ - Atividades financeiras, de seguros e serviços relacionados",PARAÍBA,3158740.8326622266
472,2012,PJ - Atividades imobiliárias,PARAÍBA,966187.0570843164
473,2012,"PJ - Atividades profissionais, científicas e técnicas",PARAÍBA,8065550.502133689
474,2012,PJ - Comércio; reparação de veículos automotores e motocicletas,PARAÍBA,300374633.38171256
475,2012,PJ - Construção,PARAÍBA,53370234.57887838
476,2012,PJ - Educação,PARAÍBA,7315676.069641805
477,2012,PJ - Eletricidade e gás,PARAÍBA,0.0
478,2012,PJ - Indústrias de transformação,PARAÍBA,102471417.23956408
479,2012,PJ - Indústrias extrativas,PARAÍBA,4870891.444856349
480,2012,PJ - Informação e comunicação,PARAÍBA,3458482.5091617433
481,2012,PJ - Outras atividades de serviços,PARAÍBA,6448912.313386432
482,2012,PJ - Saúde humana e serviços sociais,PARAÍBA,11747246.661702808
483,2012,"PJ - Transporte, armazenagem e correio",PARAÍBA,15024252.747466369
484,2012,"PJ - Água, esgoto, atividades de gestão de resíduos e descontaminação",PARAÍBA,19561631.504841395
485,2012,"PJ - Administração pública, defesa e seguridade social",PERNAMBUCO,243947.92159436853
486,2012,"PJ - Agricultura, pecuária, produção florestal, pesca e aqüicultura",PERNAMBUCO,67823448.97620358
487,2012,PJ - Alojamento e alimentação,PERNAMBUCO,40533485.92977214
488,2012,"PJ - Artes, cultura, esporte e recreação",PERNAMBUCO,4549758.222197854
489,2012,PJ - Atividades administrativas e serviços complementares,PERNAMBUCO,187299236.3931766
490,2012,"PJ - Atividades financeiras, de seguros e serviços relacionados",PERNAMBUCO,21035971.564211
491,2012,PJ - Atividades imobiliárias,PERNAMBUCO,23672846.09295861
492,2012,"PJ - Atividades profissionais, científicas e técnicas",PERNAMBUCO,28377477.669109568
493,2012,PJ - Comércio; reparação de veículos automotores e motocicletas,PERNAMBUCO,668701016.3999941
494,2012,PJ - Construção,PERNAMBUCO,175170289.69290712
495,2012,PJ - Educação,PERNAMBUCO,6018149.007258713
496,2012,PJ - Eletricidade e gás,PERNAMBUCO,829472.8548206526
497,2012,PJ - Indústrias de transformação,PERNAMBUCO,619489202.1465102
498,2012,PJ - Indústrias extrativas,PERNAMBUCO,6301523.403329523
499,2012,PJ - Informação e comunicação,PERNAMBUCO,14325776.415115595
500,2012,PJ - Outras atividades de serviços,PERNAMBUCO,37580581.51262445
501,2012,PJ - Saúde humana e serviços sociais,PERNAMBUCO,7127545.260218055
502,2012,"PJ - Transporte, armazenagem e correio",PERNAMBUCO,158262490.8523679
503,2012,"PJ - Água, esgoto, atividades de gestão de resíduos e descontaminação",PERNAMBUCO,5929472.654364917
504,2012,"PJ - Administração pública, defesa e seguridade social",PIAUÍ,533039.0844713887
505,2012,"PJ - Agricultura, pecuária, produção florestal, pesca e aqüicultura",PIAUÍ,4705795.958659354
506,2012,PJ - Alojamento e alimentação,PIAUÍ,4170683.7647128594
507,2012,"PJ - Artes, cultura, esporte e recreação",PIAUÍ,452476.39509840676
508,2012,PJ - Atividades administrativas e serviços complementares,PIAUÍ,12915350.79276394
509,2012,"PJ - Atividades financeiras, de seguros e serviços relacionados",PIAUÍ,1008738.8972576557
510,2012,PJ - Atividades imobiliárias,PIAUÍ,1627882.2393966326
511,2012,"PJ - Atividades profissionais, científicas e técnicas",PIAUÍ,3918362.910146839
512,2012,PJ - Comércio; reparação de veículos automotores e motocicletas,PIAUÍ,166241936.5832785
513,2012,PJ - Construção,PIAUÍ,37240899.04531435
514,2012,PJ - Educação,PIAUÍ,3422578.7211626656
515,2012,PJ - Eletricidade e gás,PIAUÍ,634122.9385148059
